NREGION;CODIGO;NNROVIV;NHOGAR;PONDERA;C1_P01;C1_P02;C1_P03;C1_P04;C1_P05;C1_P06;C1_P07;C1_P08;C1_P09;C1_P10;C1_P11;C1_P12;C1_P13;DefMaterial_Paredes;DefMaterial_Pisos;DefGas;CantPob_0_17;CantPob_5_17;Act_5_17;ClimaEduHogar;Hog_AUH;Hog_AyudasProgSoc
1;1604;1;1;1370;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1605;1;1;1279;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1606;1;1;1523;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1607;1;1;1523;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1608;1;1;1018;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1609;1;1;1594;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1610;1;1;1191;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1611;1;1;2244;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1612;1;1;2244;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1613;1;1;936;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1614;1;1;497;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1615;1;1;401;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1616;1;1;925;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1617;1;1;660;1;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1714;1;1;666;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1715;1;1;811;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1716;1;1;874;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1717;1;1;444;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1718;1;7;526;2;1;1;4;1;1;1;1;1;1;1;2;5;0;0;0;0;0; ; ; ; 
1;1719;1;1;435;2;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1720;1;1;688;1;1;2;3;3;1;1;3;1;2;1;1;1;0;0;1;0;0; ; ; ; 
1;1721;1;1;864;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1722;1;1;1412;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1723;1;1;1538;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1724;1;1;1153;1;1;1;1;1;1;1;3;1;1;1;1;3;0;0;1;0;0; ; ; ; 
1;1725;1;1;896;1;1;1;4;4;1;1;1;1;1;3;1;1;0;0;0;0;0; ; ; ; 
1;1726;1;1;1116;1;1;1;2;2;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1727;1;1;1199;2;1;1;3;3;1;1;1;1;1;3;1;5;0;0;0;0;0; ; ; ; 
1;1728;1;1;907;1;1;1;4;4;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1729;1;1;1054;2;1;1;2;2;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1730;1;1;1347;1;1;1;2;2;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1731;1;1;1067;1;1;1;4;4;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1738;1;1;539;1;1;1;2;2;1;1;1;1;1;3;1;1;0;0;0;0;0; ; ; ; 
1;1739;1;1;508;1;1;1;3;3;1;2;2;1;1;3;1;1;0;0;1;0;0; ; ; ; 
1;1740;1;1;1182;1;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1741;1;1;1049;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1742;1;1;1185;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1743;1;1;1112;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1744;1;1;1323;1;1;1;2;2;1;1;3;1;1;1;1;1;0;0;1;0;0; ; ; ; 
1;1745;1;1;1599;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1746;1;1;1323;2;1;1;3;3;1;1;3;1;1;1;1;7;0;0;1;0;0; ; ; ; 
1;1757;1;1;645;1;1;1;3;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1809;1;1;1465;2;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1810;1;1;1464;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1811;1;1;562;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1812;1;1;842;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1813;1;1;482;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1814;1;1;509;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1815;1;1;636;2;1;1;4;4;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1816;1;1;743;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
